0,1,2,3,4,5,6,7,8,9,10,11,12
Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages,Test Series Batting Averages
Player,Team,Batting Position,Matches,Innings,Not Out,Runs,Highest Score,Average,100s,50s,Ct,St
I.W.G. Johnson (c),{{Cr|AUS}},Right-Hand Lower Order Batsman,4,6,4,116,41,58.00,,,3,
C.C. McDonald,{{Cr|AUS}},Right-Hand Opening Batsman,2,4,,186,72,46.50,,1,1,
R.N. Harvey,{{Cr|AUS}},Left-Hand Top Order Batsman,5,9,1,354,162,44.25,1,1,3,
"Graveney, T.W.",{{Cr|ENG}},Right-Hand Top Order Batsman,2,3,,132,111,44.00,1,,4,
P.B.H. May (vc),{{Cr|ENG}},Right-Hand Top Order Batsman,5,9,,351,104,39.00,1,2,6,
"Compton, D.C.S.",{{Cr|ENG}},Right-Hand Top Order Batsman,4,7,2,191,84,38.20,,1,,
T.E. Bailey,{{Cr|ENG}},Right-Hand Lower Order Batsman,5,9,1,296,88,37.00,,2,2,
M.C. Cowdrey,{{Cr|ENG}},Right-Hand Middle Order Batsman,5,9,,319,102,35.44,1,2,4,
P.J.P. Burge,{{Cr|AUS}},Right-Hand Top Order Batsman,1,2,1,35,18*,35.00,,,1,
A.R. Morris (vc),{{Cr|AUS}},Left-Hand Opening Batsman,4,7,,223,153,31.85,1,,,
L.V. Maddocks (wk),{{Cr|AUS}},Right-Hand Middle Order Batsman,3,5,,150,69,30.00,,1,7,
R.R. Lindwall,{{Cr|AUS}},Right-Hand Middle Order Batsman,4,6,2,106,64*,26.50,,1,2,
"Hutton, L. (c)",{{Cr|ENG}},Right-Hand Opening Batsman,5,9,,220,80,24.44,,1,2,
K.R. Miller,{{Cr|AUS}},Right-Hand Middle Order Batsman,4,7,,167,49,23.85,,,1,
W.J. Edrich,{{Cr|ENG}},Right-Hand Top Order Batsman,4,8,,180,88,22.50,,1,3,
"Appleyard, R.",{{Cr|ENG}},Right-Hand Lower Order Batsman,4,5,3,44,19*,22.00,,,1,
"Wardle, J.H.",{{Cr|ENG}},Left-Hand Lower Order Batsman,4,6,1,109,38,21.80,,,1,
J.M. Burke,{{Cr|AUS}},Right-Hand Top Order Batsman,2,4,,81,44,20.25,,,2,
L.E. Favell,{{Cr|AUS}},Right-Hand Opening Batsman,4,7,,130,30,18.57,,,2,
"Evans, T.G. (wk)",{{Cr|ENG}},Right-Hand Middle Order Batsman,4,7,1,102,37,17.00,,,13,
G.B. Hole,{{Cr|AUS}},Right-Hand Top Order Batsman,3,5,,85,57,17.00,,1,3,
R.G. Archer,{{Cr|AUS}},Right-Hand Middle Order Batsman,4,7,,117,49,16.71,,,4,
R. Benaud,{{Cr|AUS}},Right-Hand Middle Order Batsman,5,9,,148,34,16.44,,,3,
A.K. Davidson,{{Cr|AUS}},Left-Hand Middle Order Batsman,3,5,,71,23,14.20,,,5,
"Statham, J.B.",{{Cr|ENG}},Left-Hand Lower Order Batsman,5,7,1,67,25,11.16,,,1,
"Tyson, F.H.",{{Cr|ENG}},Right-Hand Lower Order Batsman,5,7,1,66,37*,11.00,,,2,
W.J. Watson,{{Cr|AUS}},Right-Hand Opening Batsman,1,2,,21,18,10.50,,,,
G.R.A. Langley (wk),{{Cr|AUS}},Right-Hand Lower Order Batsman,2,3,,21,16,7.00,,,9,
W.A. Johnston,{{Cr|AUS}},Right-Hand Lower Order Batsman,4,6,2,25,11,6.25,,,1,
"Andrew, K.V. (wk)",{{Cr|ENG}},Right-Hand Lower Order Batsman,1,2,,11,6,5.50,,,,
R.T. Simpson,{{Cr|ENG}},Right-Hand Opening Batsman,1,2,,11,9,5.50,,,,
"Bedser, A.V.",{{Cr|ENG}},Right-Hand Lower Order Batsman,1,2,,10,5,5.00,,,1,
